Bank, Property,City,Borrower,institution,propertyType,loanAmount,income, partnerId
hdfc ,2 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,3 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,4 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,5 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,6 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,7 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,8 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,9 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,10 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,11 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,12 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,13 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,14 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,15 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,16 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,17 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,18 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,19 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,20 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,21 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,22 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,23 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,24 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,25 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,26 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
hdfc ,27 floor buliding,bangalore,kissan,s&g,house,1000,1000,A1B3
